category,query_id,range_start,range_end,result_count,time_ms,io_count
2,276,1228475407,1228475627,0,0.003418,3
2,277,1241006700,1241006920,0,0.003174,3
2,278,1227011608,1227011828,0,0.003662,3
2,279,1236418207,1236418427,0,0.003418,3
2,280,1243833649,1243833869,0,0.003174,3
2,281,1244973547,1244973767,0,0.003418,3
2,282,1228092194,1228092414,0,0.003174,3
2,283,1241924393,1241924613,0,0.003418,3
2,284,1245525482,1245525702,0,0.003418,3
2,285,1236598818,1236599038,0,0.003174,3
2,286,1240579983,1240580203,0,0.003418,3
2,287,1228054807,1228055027,0,0.003418,3
2,288,1246361552,1246361772,0,0.003174,3
2,289,1227062677,1227062897,0,0.003418,3
2,290,1228044065,1228044285,0,0.003418,3
2,291,1242999050,1242999270,0,0.003174,3
2,292,1234933532,1234933752,0,0.003662,3
2,293,1240224511,1240224731,0,0.002930,3
2,294,1246096092,1246096312,0,0.003418,3
2,295,1234978586,1234978806,0,0.003418,3
2,296,1225389676,1225389896,0,0.003174,3
2,297,1245774697,1245774917,0,0.003662,3
2,298,1239359990,1239360210,0,0.003418,3
2,299,1234757639,1234757859,0,0.004395,4
3,300,1228349745,1228349767,0,0.009521,3
3,301,1227002677,1227002699,0,0.003418,3
3,302,1228080604,1228080626,0,0.003418,3
3,303,1244325827,1244325849,0,0.003662,3
3,304,1228078569,1228078591,0,0.003174,3
3,305,1230085065,1230085087,0,0.003418,3
3,306,1228144152,1228144174,0,0.003418,3
3,307,1234281108,1234281130,0,0.003174,3
3,308,1238305338,1238305360,0,0.003418,3
3,309,1233139887,1233139909,0,0.003662,3
3,310,1238237933,1238237955,0,0.003174,3
3,311,1231603711,1231603733,0,0.003662,3
3,312,1244600850,1244600872,0,0.003418,3
3,313,1240700627,1240700649,0,0.003174,3
3,314,1240257742,1240257764,0,0.003418,3
3,315,1225896098,1225896120,0,0.004639,4
3,316,1227438300,1227438322,0,0.003174,3
3,317,1232489081,1232489103,0,0.003418,3
3,318,1244790619,1244790641,0,0.003662,3
3,319,1227137603,1227137625,0,0.003174,3
3,320,1235098315,1235098337,0,0.003418,3
3,321,1246767056,1246767078,0,0.003662,3
3,322,1243193735,1243193757,0,0.003174,3
3,323,1242786910,1242786932,0,0.003418,3
3,324,1237601560,1237601582,0,0.003662,3
3,325,1234716748,1234716770,0,0.003174,3
3,326,1243673662,1243673684,0,0.003418,3
3,327,1238460173,1238460195,0,0.003174,3
3,328,1238870129,1238870151,0,0.003174,3
3,329,1225489401,1225489423,0,0.003662,3
3,330,1244728141,1244728163,0,0.003174,3
3,331,1242291655,1242291677,0,0.003662,3
3,332,1228347324,1228347346,0,0.003418,3
3,333,1246162558,1246162580,0,0.003174,3
3,334,1228765446,1228765468,0,0.003418,3
3,335,1228156856,1228156878,0,0.003174,3
3,336,1237669632,1237669654,0,0.003418,3
3,337,1244066244,1244066266,0,0.003418,3
3,338,1237060637,1237060659,0,0.003662,3
